order_id,customer_id,amount,timestamp
5280,237,97.2,1777896951
9237,866,711.16,1777896951
3307,851,690.1,1777896951
8151,625,444.89,1777896951
2585,870,106.09,1777896951
6912,104,169.74,1777896951
7992,634,126.7,1777896951
5623,488,88.05,1777896951
1864,772,770.04,1777896951
8645,693,567.47,1777896951
4534,615,793.83,1777896951
8856,457,321.31,1777896951
8018,940,549.52,1777896951
1937,820,724.46,1777896951
7017,626,572.72,1777896951
8188,647,469.24,1777896951
6978,914,545.85,1777896951
1035,625,293.89,1777896951
6071,112,78.72,1777896951
4014,573,932.67,1777896951
3685,259,803.58,1777896951
2454,363,19.6,1777896951
3582,538,965.37,1777896951
9056,268,976.32,1777896951
7358,189,665.28,1777896951
9093,264,903.24,1777896951
6740,350,722.3,1777896951
6390,358,902.33,1777896951
2329,186,588.19,1777896951
3769,303,664.84,1777896951
8168,508,619.44,1777896951
9076,494,465.57,1777896951
6222,520,315.87,1777896951
6445,309,954.02,1777896951
2813,518,70.36,1777896951
6905,605,612.03,1777896951
6977,548,778.62,1777896951
3758,106,184.4,1777896951
8893,678,319.01,1777896951
7249,823,876.16,1777896951
4829,905,901.85,1777896951
7038,913,795.25,1777896951
8517,266,510.5,1777896951
8472,878,671.2,1777896951
6452,218,264.27,1777896951
3746,902,279.04,1777896951
5330,815,86.65,1777896951
8068,938,180.13,1777896951
1522,292,272.92,1777896951
9345,128,551.29,1777896951
7877,942,487.47,1777896951
5044,602,593.83,1777896951
5413,264,384.94,1777896951
7891,148,88.36,1777896951
6261,342,899.31,1777896951
3797,352,839.14,1777896951
8559,472,683.69,1777896951
2309,723,636.72,1777896951
1910,934,832.46,1777896951
2519,864,794.78,1777896951
4105,892,139.67,1777896951
6354,553,379.35,1777896951
1093,673,714.84,1777896951
7260,855,96.46,1777896951
6219,151,21.02,1777896951
4438,644,553.27,1777896951
2942,583,70.47,1777896951
6680,293,543.48,1777896951
6754,641,730.11,1777896951
8045,381,255.71,1777896951
2753,413,590.2,1777896951
3056,414,755.56,1777896951
4651,716,581.47,1777896951
1565,901,986.94,1777896951
6715,195,257.19,1777896951
2411,646,660.2,1777896951
